2025-07-26 13:09:20 - 🚀 Starting User Activity Tracker...
2025-07-26 13:09:20 - 🖥️ Tracking running applications...
2025-07-26 13:09:20 - 📂 Watching folder: C:\Users\hp\OneDrive\Desktop\dummy
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624S
2025-07-26 13:09:20 - 🪟 Running Process: 
2025-07-26 13:09:20 - 🪟 Running Process: Image Name                     PID Session Name        Session#    Mem Usage
2025-07-26 13:09:20 - 🪟 Running Process: servicehost.exe              10192 Services                   0     16,780 K
2025-07-26 13:09:20 - 🪟 Running Process: WindowsTerminal.exe          16748                           14         36 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   5240 Services                   0      1,108 K
2025-07-26 13:09:20 - 🪟 Running Process: HPPrintScanDoctorService.    22484 Services                   0      4,920 K
2025-07-26 13:09:20 - 🪟 Running Process: WindowsTerminal.exe           8484                           16         36 K
2025-07-26 13:09:20 - 🪟 Running Process: OfficeClickToRun.exe         19260 Services                   0      6,604 K
2025-07-26 13:09:20 - 🪟 Running Process: SearchIndexer.exe             8160 Services                   0     43,776 K
2025-07-26 13:09:20 - 🪟 Running Process: armsvc.exe                   22308 Services                   0      2,088 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  22388 Services                   0      1,424 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  12028 Services                   0      1,684 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  22120 Services                   0        996 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   6980 Services                   0     14,384 K
2025-07-26 13:09:20 - 🪟 Running Process: MpDefenderCoreService.exe    13868 Services                   0     10,360 K
2025-07-26 13:09:20 - 🪟 Running Process: MsMpEng.exe                   2008 Services                   0   1,71,928 K
2025-07-26 13:09:20 - 🪟 Running Process: NisSrv.exe                   22968 Services                   0      2,812 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   9376 Services                   0      2,152 K
2025-07-26 13:09:20 - 🪟 Running Process: WindowsTerminal.exe          16480                           24         36 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  22208 Services                   0      1,256 K
2025-07-26 13:09:20 - 🪟 Running Process: SearchProtocolHost.exe       10060 Services                   0     13,944 K
2025-07-26 13:09:20 - 🪟 Running Process: csrss.exe                    22376 Console                   29      3,528 K
2025-07-26 13:09:20 - 🪟 Running Process: winlogon.exe                 23040 Console                   29      3,012 K
2025-07-26 13:09:20 - 🪟 Running Process: dwm.exe                      12584 Console                   29     62,064 K
2025-07-26 13:09:20 - 🪟 Running Process: fontdrvhost.exe               7088 Console                   29      1,108 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  23840 Services                   0      2,636 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  13912 Services                   0      6,468 K
